[2022-06-04T01:47:42.100] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:47:42.360] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:47:57.489] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:47:57.753] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:48:38.099] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:48:38.375] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:49:01.108] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:49:01.366] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:49:16.168] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:49:16.431] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:49:57.102] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:49:57.363] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:50:22.395] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:50:22.643] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:50:40.108] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:50:40.341] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:51:14.101] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:51:14.360] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:52:06.509] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:52:06.758] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:52:19.440] [INFO] custom - Path: /home, Method: GET
[2022-06-04T01:52:19.602] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:52:19.603] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T01:52:19.711] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:52:19.721] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:52:19.984] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:52:19.985] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T01:52:40.157] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T01:52:40.408] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T01:53:07.412] [INFO] custom - Path: /productos, Method: GET
